source_path,repo_target_path,size_bytes,pdf_pages,sha256,raw_available_in_session,raw_committed_to_repo,preservation_status
source/austenJane/_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.pdf,data/raw/pdf/austenJane/_OceanofPDF.com_Complete_Works_Extras_-_Austen_Jane_compressed.pdf,21497056,4205,60dd0e3d997cb76d4f13a7d661bd1250163b402df88c41ca4f2c0d1b1fa23f71,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/10-Hard-times-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/10-Hard-times-author-Charles-Dickens.pdf,2880488,198,13e4e52fadfe7947d8b8f7bef8ebd63f0323218362edd8817dcc11598541d4cc,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/11-Dombey-and-Son-autor-Charles-Dickens.pdf,6163897,767,04c8adaad076439d0ac85a4fc2ff9f3b5168465d22adfdaa0535209c1d5e60e7,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/12-Martin-Chuzzlewit-author-Charles-Dickens.pdf,3704912,817,f8f32872df837dbf4d48fd21d56bd217e71e90af29e8b712e152a86cce8414ca,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/13-Our-Mutual-Friend-author-Charles-Dickens.pdf,12328984,975,94362f02ccb8da6d6b8b98c3c3379c6dbc189e9a46a7956d5ff50b49f5251ce5,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/14-The-Mystery-of-Edwin-Drood-author-Charles-Dickens.pdf,885960,261,78a2f303323a6d4c47812feb4d0609598e3e584a0c5987de70a1905e3a149dc0,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/15-Barnaby-Rudge-author-Charles-Dickens.pdf,7583202,561,636616bf5ac065cf9700f78e440fab44b23824125f7246bbf3d09c1f906ffebf,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/16-American-Notes-for-General-Circulation-author-Charles-Dickens.pdf,1869733,193,e36dd23b866d12a919afe68249033a5ef5bd7a0c5f6795134a8e4c1e4e07a0e8,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/17-The-Chimes-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/17-The-Chimes-author-Charles-Dickens.pdf,1528322,87,b0369ee673bb1b24c37caa10e7e3f1133826b2d1e7d7935540c17b56b4fb1ac2,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
source/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.pdf,data/raw/pdf/CharlesDicken/18-The-Cricket-on-the-Hearth-author-Charles-Dickens.pdf,1610676,88,d6d955aec5cc45e79a8a49087dcf263e5a6bf55b76cc477f7764e60cecddfbe1,true,false,inventoried_by_checksum_needs_git_lfs_for_binary
